,entryflow,exitflow,transferflow,weekday,daytype,timeid,hour,dayid
321,640,1296,681,2,0,30,13,4
322,1301,1412,678,2,0,31,13,4
323,1392,1258,836,2,0,32,13,4
324,1710,1441,647,2,0,33,13,4
325,1178,1450,646,2,0,34,14,4
326,824,1408,780,2,0,35,14,4
327,1797,1427,602,2,0,36,14,4
328,811,1350,718,2,0,37,14,4
329,1942,1466,565,2,0,38,15,4
330,2022,1419,635,2,0,39,15,4
331,1338,1368,714,2,0,40,15,4
332,1439,1243,620,2,0,41,15,4
333,1829,1183,667,2,0,42,16,4
334,1370,1110,739,2,0,43,16,4
335,1075,1371,839,2,0,44,16,4
336,2240,1454,838,2,0,45,16,4
337,1616,1119,888,2,0,46,17,4
338,1796,1229,973,2,0,47,17,4
339,1423,1274,1181,2,0,48,17,4
340,2082,1045,1548,2,0,49,17,4
341,1784,1006,1741,2,0,50,18,4
342,1996,985,2199,2,0,51,18,4
343,2014,1133,2434,2,0,52,18,4
344,1962,1138,2595,2,0,53,18,4
345,960,900,1935,2,0,54,19,4
346,1263,871,1622,2,0,55,19,4
347,2196,842,1170,2,0,56,19,4
348,1864,681,1141,2,0,57,19,4
349,733,495,873,2,0,58,20,4
350,523,401,850,2,0,59,20,4
351,1354,483,678,2,0,60,20,4
352,2324,335,821,2,0,61,20,4
353,1601,269,694,2,0,62,21,4
354,1105,237,648,2,0,63,21,4
355,780,199,721,2,0,64,21,4
356,598,253,622,2,0,65,21,4
357,1108,189,661,2,0,66,22,4
358,934,168,556,2,0,67,22,4
359,600,117,486,2,0,68,22,4
360,367,102,469,2,0,69,22,4
361,532,68,296,2,0,70,23,4
362,261,71,101,2,0,71,23,4
363,46,44,25,2,0,72,23,4
364,21,17,10,2,0,73,23,4
365,2,0,0,3,0,1,5,5
366,6,5,0,3,0,2,6,5
367,14,2,4,3,0,3,6,5
368,17,82,85,3,0,4,6,5
369,27,450,187,3,0,5,6,5
370,38,891,281,3,0,6,7,5
371,77,1323,553,3,0,7,7,5
372,137,1416,1156,3,0,8,7,5
373,184,1617,1754,3,0,9,7,5
374,663,1591,2277,3,0,10,8,5
375,789,1716,2580,3,0,11,8,5
376,637,1762,3125,3,0,12,8,5
377,335,1784,2836,3,0,13,8,5
378,573,1600,1739,3,0,14,9,5
379,1012,1933,1743,3,0,15,9,5
380,597,1633,1580,3,0,16,9,5
381,1558,1885,1044,3,0,17,9,5
382,431,1875,1003,3,0,18,10,5
383,1727,1560,753,3,0,19,10,5
384,1489,1490,712,3,0,20,10,5
385,1396,1241,755,3,0,21,10,5
386,848,1376,582,3,0,22,11,5
387,1166,1125,606,3,0,23,11,5
388,1514,1329,618,3,0,24,11,5
389,1549,1356,485,3,0,25,11,5
390,2122,1311,622,3,0,26,12,5
391,1167,1298,582,3,0,27,12,5
392,769,1163,579,3,0,28,12,5
393,1008,1078,712,3,0,29,12,5
394,685,1240,650,3,0,30,13,5
395,1613,1451,677,3,0,31,13,5
396,1353,1328,746,3,0,32,13,5
397,1535,1283,722,3,0,33,13,5
398,1367,1462,735,3,0,34,14,5
399,810,1334,720,3,0,35,14,5
400,2004,1493,646,3,0,36,14,5
401,1016,1329,715,3,0,37,14,5
402,1934,1381,658,3,0,38,15,5
403,1878,1347,578,3,0,39,15,5
404,1329,1238,635,3,0,40,15,5
405,804,1272,597,3,0,41,15,5
406,2602,1217,657,3,0,42,16,5
407,1341,1191,769,3,0,43,16,5
408,1025,1415,743,3,0,44,16,5
409,2298,1398,812,3,0,45,16,5
410,1478,1192,870,3,0,46,17,5
411,1879,1148,891,3,0,47,17,5
412,1541,1221,1112,3,0,48,17,5
413,2243,1018,1627,3,0,49,17,5
414,1798,999,1556,3,0,50,18,5
415,2226,1134,2256,3,0,51,18,5
416,2062,1114,2393,3,0,52,18,5
417,1999,955,2562,3,0,53,18,5
418,1247,1093,2062,3,0,54,19,5
419,1443,885,1716,3,0,55,19,5
420,2232,835,1156,3,0,56,19,5
421,1939,653,1100,3,0,57,19,5
422,801,474,1005,3,0,58,20,5
423,552,439,853,3,0,59,20,5
424,1438,467,746,3,0,60,20,5
425,2483,391,809,3,0,61,20,5
426,1542,337,730,3,0,62,21,5
427,1166,233,708,3,0,63,21,5
428,812,213,795,3,0,64,21,5
429,698,231,724,3,0,65,21,5
430,1166,157,738,3,0,66,22,5
431,1020,150,608,3,0,67,22,5
432,668,152,508,3,0,68,22,5
433,395,112,490,3,0,69,22,5
434,560,92,368,3,0,70,23,5
435,282,66,151,3,0,71,23,5
436,36,29,35,3,0,72,23,5
437,30,11,9,3,0,73,23,5
438,7,0,0,4,0,1,5,6
439,10,4,0,4,0,2,6,6
440,26,2,4,4,0,3,6,6
441,21,86,114,4,0,4,6,6
442,34,532,232,4,0,5,6,6
443,51,898,270,4,0,6,7,6
444,73,1449,553,4,0,7,7,6
445,150,1466,1146,4,0,8,7,6
446,172,1710,1828,4,0,9,7,6
447,534,1655,2397,4,0,10,8,6
448,878,1715,2644,4,0,11,8,6
449,629,1780,3249,4,0,12,8,6
450,379,1965,2876,4,0,13,8,6
451,520,1775,1636,4,0,14,9,6
452,1015,1957,1745,4,0,15,9,6
453,521,1690,1568,4,0,16,9,6
454,1585,1960,1067,4,0,17,9,6
455,397,1817,1037,4,0,18,10,6
456,1797,1640,769,4,0,19,10,6
457,1525,1545,643,4,0,20,10,6
458,1462,1280,745,4,0,21,10,6
459,961,1274,596,4,0,22,11,6
460,1529,1117,590,4,0,23,11,6
461,1503,1544,660,4,0,24,11,6
462,1515,1459,491,4,0,25,11,6
463,2550,1360,607,4,0,26,12,6
464,1200,1228,579,4,0,27,12,6
465,732,1285,590,4,0,28,12,6
466,1182,1218,691,4,0,29,12,6
467,868,1404,657,4,0,30,13,6
468,1612,1411,741,4,0,31,13,6
469,1794,1384,798,4,0,32,13,6
470,1723,1372,732,4,0,33,13,6
471,1445,1406,776,4,0,34,14,6
472,1012,1517,800,4,0,35,14,6
473,1929,1362,653,4,0,36,14,6
474,1303,1527,680,4,0,37,14,6
475,2277,1406,615,4,0,38,15,6
476,2264,1337,702,4,0,39,15,6
477,1316,1357,743,4,0,40,15,6
478,1512,1370,682,4,0,41,15,6
479,2478,1317,736,4,0,42,16,6
480,1579,1376,739,4,0,43,16,6
481,1195,1501,808,4,0,44,16,6
482,2288,1589,847,4,0,45,16,6
483,1846,1350,918,4,0,46,17,6
484,2022,1420,965,4,0,47,17,6
485,1754,1411,1145,4,0,48,17,6
486,2438,1204,1613,4,0,49,17,6
487,2199,1217,1733,4,0,50,18,6
488,2272,1251,2237,4,0,51,18,6
489,2436,1332,2404,4,0,52,18,6
490,2263,1183,2610,4,0,53,18,6
491,1680,1137,1955,4,0,54,19,6
492,1737,1004,1639,4,0,55,19,6
493,2477,941,1137,4,0,56,19,6
494,2282,783,1152,4,0,57,19,6
495,961,540,889,4,0,58,20,6
496,963,475,841,4,0,59,20,6
497,1485,572,733,4,0,60,20,6
498,2801,431,822,4,0,61,20,6
499,1909,373,709,4,0,62,21,6
500,1261,316,738,4,0,63,21,6
501,817,292,758,4,0,64,21,6
502,876,282,644,4,0,65,21,6
503,1504,233,743,4,0,66,22,6
504,1245,187,562,4,0,67,22,6
505,933,171,467,4,0,68,22,6
506,525,156,492,4,0,69,22,6
507,723,93,303,4,0,70,23,6
508,329,92,127,4,0,71,23,6
509,32,52,37,4,0,72,23,6
510,32,37,11,4,0,73,23,6
511,5,1,0,5,0,1,5,7
512,10,2,0,5,0,2,6,7
513,18,5,9,5,0,3,6,7
514,20,90,91,5,0,4,6,7
515,33,511,222,5,0,5,6,7
516,59,999,250,5,0,6,7,7
517,92,1592,558,5,0,7,7,7
518,189,1715,1096,5,0,8,7,7
519,154,1805,1770,5,0,9,7,7
520,558,1822,2298,5,0,10,8,7
521,743,2066,2604,5,0,11,8,7
522,700,2082,3181,5,0,12,8,7
523,370,2096,2642,5,0,13,8,7
524,628,2012,1704,5,0,14,9,7
525,1142,2277,1769,5,0,15,9,7
526,767,1965,1561,5,0,16,9,7
527,1511,2169,1054,5,0,17,9,7
528,859,2218,1045,5,0,18,10,7
529,2015,2191,794,5,0,19,10,7
530,1925,1841,730,5,0,20,10,7
531,1692,1747,742,5,0,21,10,7
532,1358,1782,680,5,0,22,11,7
533,1885,1690,697,5,0,23,11,7
534,1807,2002,713,5,0,24,11,7
535,2115,2116,581,5,0,25,11,7
536,2536,2056,778,5,0,26,12,7
537,1789,1815,686,5,0,27,12,7
538,1288,1779,749,5,0,28,12,7
539,1811,1746,827,5,0,29,12,7
540,1208,2115,834,5,0,30,13,7
541,2542,2250,890,5,0,31,13,7
542,2311,2334,905,5,0,32,13,7
543,2519,2157,847,5,0,33,13,7
544,2057,2226,926,5,0,34,14,7
545,1508,2293,992,5,0,35,14,7
546,2936,2038,812,5,0,36,14,7
547,2097,2567,896,5,0,37,14,7
548,2989,2357,753,5,0,38,15,7
549,2813,2457,884,5,0,39,15,7
550,2226,2154,945,5,0,40,15,7
551,2245,2110,1020,5,0,41,15,7
552,3152,1917,947,5,0,42,16,7
553,2388,2270,1112,5,0,43,16,7
554,1606,2488,1186,5,0,44,16,7
555,3006,2434,1159,5,0,45,16,7
556,2971,2280,1310,5,0,46,17,7
557,2963,2777,1356,5,0,47,17,7
558,2379,2667,1701,5,0,48,17,7
559,3360,2799,2241,5,0,49,17,7
560,3117,2978,2043,5,0,50,18,7
561,3420,3124,2627,5,0,51,18,7
562,3696,3370,3038,5,0,52,18,7
563,3273,2848,3091,5,0,53,18,7
564,2541,2579,2563,5,0,54,19,7
565,2698,2277,2172,5,0,55,19,7
566,3665,2202,1524,5,0,56,19,7
567,3715,1733,1387,5,0,57,19,7
568,2280,1384,1150,5,0,58,20,7
569,2207,1093,1059,5,0,59,20,7
570,2460,1243,829,5,0,60,20,7
571,3152,868,993,5,0,61,20,7
572,3412,803,781,5,0,62,21,7
573,3164,576,871,5,0,63,21,7
574,2977,522,987,5,0,64,21,7
575,1495,426,823,5,0,65,21,7
576,2948,458,933,5,0,66,22,7
577,2635,307,712,5,0,67,22,7
578,1962,318,725,5,0,68,22,7
579,1617,233,685,5,0,69,22,7
580,1255,214,429,5,0,70,23,7
581,705,134,181,5,0,71,23,7
582,156,89,44,5,0,72,23,7
